"type","name","1-1-3","2-1","2-2","2-4","2-5","3-5","5-1","5-2","5-4","5-5","8-1-1","8-2","8-2-1","8-3","8-3-1","10-2-2","11-1","12-1","12-1-1","12-2","12-3"
1,"LE22A19",0.101428,0.196469,0.1139,0.141507,0.128198,0.16769,-0.101381,-0.0734353,-0.114963,0.0140352,-0.178862,0.0399676,-0.00192047,0.0511744,0.069271,0.035115,-0.190326,0.17167,-0.0229435,0.318044,0.79678100000000000000
1,"LE4N16",0.0638135,0.145725,0.532899,-0.0643056,0.0486812,-0.13934,0.145381,0.258816,-0.0906541,0.136236,-0.0616271,-0.638472,-0.183652,0.088133,0.00316254,-0.110808,-0.00297257,-0.238099,0.106604,0.119141,0.04901890000000000000
1,"LE29H13",-0.00711786,0.0607676,0.192497,0.257937,-0.137891,0.222611,0.0725804,0.0146445,-0.0414527,-0.711783,-0.0838236,0.0282183,0.109123,0.0282208,-0.238374,0.278647,0.250966,0.226599,-0.145044,0.120251,-0.07376970000000000000
1,"LE30F13",-0.121881,-0.808781,-0.0125357,-0.20103,0.0187509,-0.0156648,0.275682,0.23408,-0.245748,-0.0499095,0.05202,0.0670847,0.0528876,-0.00875079,0.151877,0.070336,-0.116132,0.195016,-0.0291831,-0.0522746,0.05456890000000000000
1,"LE30B23",-0.565426,0.100636,0.336842,0.0516566,0.126102,0.172395,0.157261,0.0567242,0.312679,-0.0121598,0.192357,-0.0127359,0.0465568,0.191511,0.250013,0.0158431,-0.0154444,0.0781134,0.253178,0.216141,-0.35584600000000000000
1,"LE8D12",-0.155981,-0.366951,-0.0259524,-0.138586,0.0693054,0.150536,0.0138319,0.150946,-0.160238,-0.550852,0.132807,-0.214857,0.0950134,0.226498,0.0456975,0.0435312,-0.0403764,0.151284,0.106282,-0.474672,0.22878500000000000000
1,"LE32F13",-0.165184,-0.243758,0.124041,-0.18902,-0.31217,-0.0542594,-0.0369033,-0.491974,-0.218508,0.0672911,0.0438452,-0.281317,0.0809693,0.284162,-0.0481229,-0.287387,0.130467,0.0353481,-0.126766,-0.0392616,-0.42066500000000000000
1,"LE22K15",0.00554208,-0.126434,-0.0774641,0.00592535,0.300753,-0.0551477,-0.024157,0.14902,0.0762174,-0.011896,-0.0117515,0.154266,-0.0619106,0.713597,-0.0791608,-0.102819,0.0908514,-0.103579,0.452802,0.0475346,-0.27497800000000000000
1,"LE30C06",0.118908,0.0639153,0.145202,-0.132415,-0.544876,0.048002,0.0216107,0.0865636,-0.021158,0.0950846,-0.136946,0.0435197,0.0428096,-0.0237085,-0.0616159,0.111671,0.00201125,-0.149315,0.0553213,0.16942,0.73016600000000000000
1,"LE11J06",0.053577,0.349866,0.175458,0.411221,-0.0449959,-0.294401,-0.249896,0.0509218,0.1311,-0.111036,0.319143,-0.00922117,0.255063,-0.044074,-0.066516,-0.106269,0.12759,0.347635,-0.149546,0.126272,-0.36261400000000000000
1,"LE7E01",0.029068,-0.240554,0.0533083,-0.075401,-0.347741,-0.241114,-0.260942,-0.217013,-0.381462,-0.083628,-0.0329253,-0.151927,-0.194873,-0.0818631,-0.167004,0.00464366,0.154236,-0.225675,-0.194395,-0.364678,-0.37915400000000000000
1,"LE29M02",-0.0255421,0.0963572,0.196705,0.459753,0.0147002,-0.214424,-0.0753526,-0.0859546,0.045358,-0.142147,0.0966127,-0.196166,0.0261183,0.0657804,0.0442465,0.135055,-0.0393392,0.184233,-0.236904,-0.0249003,-0.70229600000000000000
1,"LE2I05",0.0437426,-0.0772727,0.0835649,0.162812,0.195745,0.0153579,0.199152,0.448173,0.192601,0.0631803,0.134715,-0.0845418,0.0544469,0.195165,0.034217,-0.206774,0.430217,0.310562,0.218672,0.418959,-0.15267900000000000000
